id	name	reason
1	The "Chow" Quest (123)aa	questName has identifier (123)aa
3		quest not found
4		quest not found
41		quest not found
42		quest not found
43		quest not found
44		quest not found
73	<TXT> No Reward	questName has identifier <TXT>
108	<TXT> Mystery Reward	questName has identifier <TXT>
137	<NYI> <TXT> Stormwind Commendation	questName has identifier <NYI>
236	Fueling the Demolishers	Wothlk quest
241	<TEST> HEY MISTER WILSON!	questName has identifier <TEST>
242	<UNUSED>	questName has identifier <UNUSED>
259	<UNUSED>	questName has identifier <UNUSED>
260	<UNUSED>	questName has identifier <UNUSED>
300		quest not found
316	<UNUSED>	questName has identifier <UNUSED>
326	<UNUSED>	questName has identifier <UNUSED>
327	<UNUSED>	questName has identifier <UNUSED>
352	<UNUSED>	questName has identifier <UNUSED>
390	<UNUSED>	questName has identifier <UNUSED>
406	<UNUSED>	questName has identifier <UNUSED>
462	<UNUSED>	questName has identifier <UNUSED>
490	<UNUSED>	questName has identifier <UNUSED>
497	<UNUSED>	questName has identifier <UNUSED>
534	<UNUSED>	questName has identifier <UNUSED>
548	<NYI> <TXT> Bloodstone Pendant	questName has identifier <NYI>
612	<UNUSED>	questName has identifier <UNUSED>
636	Legends of the Earth <NYI>	questName has identifier <NYI>
740	<UNUSED>	questName has identifier <UNUSED>
774	<UNUSED>	questName has identifier <UNUSED>
796	<UNUSED>	questName has identifier <UNUSED>
797	<UNUSED>	questName has identifier <UNUSED>
798	<UNUSED>	questName has identifier <UNUSED>
799	<UNUSED>	questName has identifier <UNUSED>
800	<UNUSED>	questName has identifier <UNUSED>
801	<UNUSED>	questName has identifier <UNUSED>
802	<UNUSED>	questName has identifier <UNUSED>
803	<UNUSED>	questName has identifier <UNUSED>
807	<UNUSED>	questName has identifier <UNUSED>
810	<UNUSED>	questName has identifier <UNUSED>
811	<UNUSED>	questName has identifier <UNUSED>
814	<UNUSED>	questName has identifier <UNUSED>
820	<UNUSED>	questName has identifier <UNUSED>
839	<UNUSED>	questName has identifier <UNUSED>
856	<UNUSED>	questName has identifier <UNUSED>
859	<UNUSED>	questName has identifier <UNUSED>
904	<UNUSED>	questName has identifier <UNUSED>
946	<UNUSED>	questName has identifier <UNUSED>
987	<UNUSED>	questName has identifier <UNUSED>
988	<UNUSED>	questName has identifier <UNUSED>
989	<UNUSED>	questName has identifier <UNUSED>
1128	<NYI> The Gnome Pit Crew is Thirsty	questName has identifier <NYI>
1129	<NYI> The Goblin Pit Crew is Thirsty	questName has identifier <NYI>
1155	<NYI> <TXT> bug crystal side quest	questName has identifier <NYI>
1156	<NYI> <TXT> speak to alchemist pestlezugg	questName has identifier <NYI>
1157	<NYI> <TXT> pestlezugg needs items	questName has identifier <NYI>
1158	<NYI> <TXT> speak to rabine saturna	questName has identifier <NYI>
1161	<NYI> <TXT> gossip shade of ambermoon	questName has identifier <NYI>
1162	<NYI> <TXT> speak to hamuul runetotem	questName has identifier <NYI>
1163	<NYI> <TXT> speak to tyrande whisperwind	questName has identifier <NYI>
1165	<NYI> Ore for the Races	questName has identifier <NYI>
1207		quest not found
1208		quest not found
1209		quest not found
1210		quest not found
1211		quest not found
1212		quest not found
1213		quest not found
1214		quest not found
1215		quest not found
1216		quest not found
1217		quest not found
1223		quest not found
1224		quest not found
1225		quest not found
1226		quest not found
1227		quest not found
1228		quest not found
1229		quest not found
1230		quest not found
1231		quest not found
1232		quest not found
1233		quest not found
1234		quest not found
1235		quest not found
1236		quest not found
1237		quest not found
1254		quest not found
1255		quest not found
1256		quest not found
1257		quest not found
1263	The Burning Inn <CHANGE TO GOSSIP>	questName has identifier <CHANGE TO GOSSIP>
1272	Finding Reethe <CHANGE INTO GOSSIP>	questName has identifier <CHANGE INTO GOSSIP>
1277	<nyi> <TXT> The Centaur Hoofprints	questName has identifier <nyi>
1278	<nyi> <TXT> The Grim Totem Clan	questName has identifier <nyi>
1279	<nyi> <TXT>The Centaur Hoofprints	questName has identifier <nyi>
1280	<nyi> <TXT>The Centaur Hoofprints	questName has identifier <nyi>
1281	Jim's Song <CHANGE TO GOSSIP>	questName has identifier <CHANGE TO GOSSIP>
1283	Fire at the Shady Rest <CHANGE TO GOSSIP>	questName has identifier <CHANGE TO GOSSIP>
1289	<nyi> Vimes's Report	questName has identifier <nyi>
1290	<nyi> Investigating Mosarn	questName has identifier <nyi>
1291	<nyi> <TXT> Centaur Hoofprints	questName has identifier <nyi>
1292	<nyi><TXT> Centaur Hoofprints	questName has identifier <nyi>
1293	<nyi> <TXT> Centaur Hoofprints	questName has identifier <nyi>
1294	<nyi> <TXT>Centaur Sympathies	questName has identifier <nyi>
1295	<nyi> <TXT> Course of Action	questName has identifier <nyi>
1296	<nyi> <TXT> Course of Action	questName has identifier <nyi>
1297	<nyi> <TXT> Course of Action	questName has identifier <nyi>
1298	<nyi> <TXT> Thrall's Dirty Work	questName has identifier <nyi>
1299	<nyi> <TXT> Thrall's Dirty Work	questName has identifier <nyi>
1300	<nyi> <TXT> Lorn Grim Totem	questName has identifier <nyi>
1303		quest not found
1304		quest not found
1305		quest not found
1306		quest not found
1307		quest not found
1308		quest not found
1309		quest not found
1310		quest not found
1311		quest not found
1312		quest not found
1313		quest not found
1314		quest not found
1315		quest not found
1316		quest not found
1317		quest not found
1325		quest not found
1326		quest not found
1327		quest not found
1328		quest not found
1329		quest not found
1330		quest not found
1331		quest not found
1332		quest not found
1333		quest not found
1334		quest not found
1335		quest not found
1336		quest not found
1337		quest not found
1340		quest not found
1341		quest not found
1342		quest not found
1343		quest not found
1344		quest not found
1345		quest not found
1346		quest not found
1347		quest not found
1348		quest not found
1349		quest not found
1350		quest not found
1351		quest not found
1352		quest not found
1353		quest not found
1354		quest not found
1355		quest not found
1356		quest not found
1357		quest not found
1376		quest not found
1377		quest not found
1378		quest not found
1379		quest not found
1390	<nyi> Oops, We Killed Them Again.	questName has identifier <nyi>
1397	<nyi> Saved!	questName has identifier <nyi>
1399		quest not found
1400		quest not found
1401		quest not found
1402		quest not found
1403		quest not found
1404		quest not found
1405		quest not found
1406		quest not found
1407		quest not found
1408		quest not found
1409		quest not found
1410		quest not found
1411		quest not found
1412		quest not found
1413		quest not found
1414		quest not found
1415		quest not found
1416		quest not found
1417		quest not found
1441	<UNUSED>	questName has identifier <UNUSED>
1443	<nyi> The Shakedown	questName has identifier <nyi>
1460	<UNUSED>	questName has identifier <UNUSED>
1461	<UNUSED>	questName has identifier <UNUSED>
1493		quest not found
1494		quest not found
1495		quest not found
1496		quest not found
1497		quest not found
1533	<NYI> Call of Air	questName has identifier <NYI>
1537	<NYI> Call of Air	questName has identifier <NYI>
1538	<NYI> Call of Air	questName has identifier <NYI>
1539		quest not found
1540		quest not found
1541		quest not found
1542		quest not found
1543		quest not found
1544		quest not found
1545		quest not found
1546		quest not found
1547		quest not found
1548		quest not found
1549		quest not found
1550		quest not found
1551		quest not found
1552		quest not found
1553		quest not found
1554		quest not found
1555		quest not found
1556		quest not found
1557		quest not found
1561		quest not found
1562		quest not found
1563		quest not found
1564		quest not found
1565		quest not found
1566		quest not found
1567		quest not found
1568		quest not found
1569		quest not found
1570		quest not found
1571		quest not found
1572		quest not found
1573		quest not found
1574		quest not found
1575		quest not found
1576		quest not found
1577		quest not found
1583		quest not found
1584		quest not found
1585		quest not found
1586		quest not found
1587		quest not found
1588		quest not found
1589		quest not found
1590		quest not found
1591		quest not found
1592		quest not found
1593		quest not found
1594		quest not found
1595		quest not found
1596		quest not found
1597		quest not found
1600		quest not found
1601		quest not found
1602		quest not found
1603		quest not found
1604		quest not found
1605		quest not found
1606		quest not found
1607		quest not found
1608		quest not found
1609		quest not found
1610		quest not found
1611		quest not found
1612		quest not found
1613		quest not found
1614		quest not found
1615		quest not found
1616		quest not found
1617		quest not found
1619		quest not found
1620		quest not found
1621		quest not found
1622		quest not found
1623		quest not found
1624		quest not found
1625		quest not found
1626		quest not found
1627		quest not found
1628		quest not found
1629		quest not found
1630		quest not found
1631		quest not found
1632		quest not found
1633		quest not found
1634		quest not found
1635		quest not found
1636		quest not found
1637		quest not found
1659	<UNUSED>	questName has identifier <UNUSED>
1660	<UNUSED>	questName has identifier <UNUSED>
1662	<UNUSED>	questName has identifier <UNUSED>
1663	<UNUSED>	questName has identifier <UNUSED>
1664	<UNUSED>	questName has identifier <UNUSED>
1668		quest not found
1669		quest not found
1670		quest not found
1671		quest not found
1672		quest not found
1673		quest not found
1674		quest not found
1675		quest not found
1676		quest not found
1677		quest not found
1694		quest not found
1695		quest not found
1696		quest not found
1697		quest not found
1720		quest not found
1721		quest not found
1722		quest not found
1723		quest not found
1724		quest not found
1725		quest not found
1726		quest not found
1727		quest not found
1728		quest not found
1729		quest not found
1730		quest not found
1731		quest not found
1732		quest not found
1733		quest not found
1734		quest not found
1735		quest not found
1736		quest not found
1737		quest not found
1741		quest not found
1742		quest not found
1743		quest not found
1744		quest not found
1745		quest not found
1746		quest not found
1747		quest not found
1748		quest not found
1749		quest not found
1750		quest not found
1751		quest not found
1752		quest not found
1753		quest not found
1754		quest not found
1755		quest not found
1756		quest not found
1757		quest not found
1759		quest not found
1760		quest not found
1761		quest not found
1762		quest not found
1763		quest not found
1764		quest not found
1765		quest not found
1766		quest not found
1767		quest not found
1768		quest not found
1769		quest not found
1770		quest not found
1771		quest not found
1772		quest not found
1773		quest not found
1774		quest not found
1775		quest not found
1776		quest not found
1777		quest not found
1797		quest not found
1807		quest not found
1808		quest not found
1809		quest not found
1810		quest not found
1811		quest not found
1812		quest not found
1813		quest not found
1814		quest not found
1815		quest not found
1816		quest not found
1817		quest not found
1826		quest not found
1827		quest not found
1828		quest not found
1829		quest not found
1830		quest not found
1831		quest not found
1832		quest not found
1833		quest not found
1834		quest not found
1835		quest not found
1836		quest not found
1837		quest not found
1849		quest not found
1850		quest not found
1851		quest not found
1852		quest not found
1853		quest not found
1854		quest not found
1855		quest not found
1856		quest not found
1857		quest not found
1862		quest not found
1863		quest not found
1864		quest not found
1865		quest not found
1866		quest not found
1867		quest not found
1868		quest not found
1869		quest not found
1870		quest not found
1871		quest not found
1872		quest not found
1873		quest not found
1874		quest not found
1875		quest not found
1876		quest not found
1877		quest not found
1887		quest not found
1888		quest not found
1889		quest not found
1890		quest not found
1891		quest not found
1892		quest not found
1893		quest not found
1894		quest not found
1895		quest not found
1896		quest not found
1897		quest not found
1900		quest not found
1901		quest not found
1902		quest not found
1903		quest not found
1904		quest not found
1905		quest not found
1906		quest not found
1907		quest not found
1908		quest not found
1909		quest not found
1910		quest not found
1911		quest not found
1912		quest not found
1913		quest not found
1914		quest not found
1915		quest not found
1916		quest not found
1917		quest not found
1922		quest not found
1923		quest not found
1924		quest not found
1925		quest not found
1926		quest not found
1927		quest not found
1928		quest not found
1929		quest not found
1930		quest not found
1931		quest not found
1932		quest not found
1933		quest not found
1934		quest not found
1935		quest not found
1936		quest not found
1937		quest not found
1964		quest not found
1965		quest not found
1966		quest not found
1967		quest not found
1968		quest not found
1969		quest not found
1970		quest not found
1971		quest not found
1972		quest not found
1973		quest not found
1974		quest not found
1975		quest not found
1976		quest not found
1977		quest not found
1979		quest not found
1980		quest not found
1981		quest not found
1982		quest not found
1983		quest not found
1984		quest not found
1985		quest not found
1986		quest not found
1987		quest not found
1988		quest not found
1989		quest not found
1990		quest not found
1991		quest not found
1992		quest not found
1993		quest not found
1994		quest not found
1995		quest not found
1996		quest not found
1997		quest not found
2001		quest not found
2002		quest not found
2003		quest not found
2004		quest not found
2005		quest not found
2006		quest not found
2007		quest not found
2008		quest not found
2009		quest not found
2010		quest not found
2011		quest not found
2012		quest not found
2013		quest not found
2014		quest not found
2015		quest not found
2016		quest not found
2017		quest not found
2020	<UNUSED>	questName has identifier <UNUSED>
2021		quest not found
2022		quest not found
2023		quest not found
2024		quest not found
2025		quest not found
2026		quest not found
2027		quest not found
2028		quest not found
2029		quest not found
2030		quest not found
2031		quest not found
2032		quest not found
2033		quest not found
2034		quest not found
2035		quest not found
2036		quest not found
2037		quest not found
2042		quest not found
2043		quest not found
2044		quest not found
2045		quest not found
2046		quest not found
2047		quest not found
2048		quest not found
2049		quest not found
2050		quest not found
2051		quest not found
2052		quest not found
2053		quest not found
2054		quest not found
2055		quest not found
2056		quest not found
2057		quest not found
2058	<UNUSED>	questName has identifier <UNUSED>
2059	<UNUSED>	questName has identifier <UNUSED>
2060		quest not found
2061		quest not found
2062		quest not found
2063		quest not found
2064		quest not found
2065		quest not found
2066		quest not found
2067		quest not found
2068		quest not found
2069		quest not found
2070		quest not found
2071		quest not found
2072		quest not found
2073		quest not found
2074		quest not found
2075		quest not found
2076		quest not found
2077		quest not found
2079		quest not found
2080		quest not found
2081		quest not found
2082		quest not found
2083		quest not found
2084		quest not found
2085		quest not found
2086		quest not found
2087		quest not found
2088		quest not found
2089		quest not found
2090		quest not found
2091		quest not found
2092		quest not found
2093		quest not found
2094		quest not found
2095		quest not found
2096		quest not found
2097		quest not found
2099		quest not found
2100		quest not found
2101		quest not found
2102		quest not found
2103		quest not found
2104		quest not found
2105		quest not found
2106		quest not found
2107		quest not found
2108		quest not found
2109		quest not found
2110		quest not found
2111		quest not found
2112		quest not found
2113		quest not found
2114		quest not found
2115		quest not found
2116		quest not found
2117		quest not found
2119		quest not found
2120		quest not found
2121		quest not found
2122		quest not found
2123		quest not found
2124		quest not found
2125		quest not found
2126		quest not found
2127		quest not found
2128		quest not found
2129		quest not found
2130		quest not found
2131		quest not found
2132		quest not found
2133		quest not found
2134		quest not found
2135		quest not found
2136		quest not found
2137		quest not found
2140		quest not found
2141		quest not found
2142		quest not found
2143		quest not found
2144		quest not found
2145		quest not found
2146		quest not found
2147		quest not found
2148		quest not found
2149		quest not found
2150		quest not found
2151		quest not found
2152		quest not found
2153		quest not found
2154		quest not found
2155		quest not found
2156		quest not found
2157		quest not found
2162		quest not found
2163		quest not found
2164		quest not found
2165		quest not found
