id	name	sellPriceCopper
25	Worn Shortsword	7
35	Bent Staff	9
36	Worn Mace	7
37	Worn Axe	7
38	Recruit's Shirt	1
39	Recruit's Pants	1
40	Recruit's Boots	1
43	Squire's Boots	1
44	Squire's Pants	1
45	Squire's Shirt	1
47	Footpad's Shoes	1
48	Footpad's Pants	1
49	Footpad's Shirt	1
51	Neophyte's Boots	1
52	Neophyte's Pants	1
53	Neophyte's Shirt	1
55	Apprentice's Boots	1
56	Apprentice's Robe	1
57	Acolyte's Robe	1
59	Acolyte's Shoes	1
60	Layered Tunic	12
61	Dwarven Leather Pants	12
79	Dwarven Cloth Britches	10
80	Soft Fur-lined Shoes	7
85	Dirty Leather Vest	12
117	Tough Jerky	1
118	Minor Healing Potion	5
120	Thug Pants	1
121	Thug Boots	1
127	Trapper's Shirt	1
129	Rugged Trapper's Boots	1
139	Brawler's Pants	1
140	Brawler's Boots	1
147	Rugged Trapper's Pants	1
148	Rugged Trapper's Shirt	1
153	Primitive Kilt	1
154	Primitive Mantle	1
159	Refreshing Spring Water	1
182	Garrick's Head	0
193	Tattered Cloth Vest	9
194	Tattered Cloth Pants	9
195	Tattered Cloth Boots	7
200	Thick Cloth Vest	454
201	Thick Cloth Pants	455
202	Thick Cloth Shoes	342
203	Thick Cloth Gloves	229
209	Dirty Leather Pants	12
210	Dirty Leather Boots	9
236	Cured Leather Armor	559
237	Cured Leather Pants	561
238	Cured Leather Boots	422
239	Cured Leather Gloves	282
285	Scalemail Vest	711
286	Scalemail Pants	645
287	Scalemail Boots	488
414	Dalaran Sharp	6
422	Dwarven Mild	25
537	Dull Frenzy Scale	87
555	Rough Vulture Feathers	8
556	Buzzard Beak	106
647	Destiny	70024
710	Bracers of the People's Militia	72
711	Tattered Cloth Gloves	5
714	Dirty Leather Gloves	6
718	Scalemail Gloves	322
719	Rabbit Handler Gloves	4
720	Brawler Gloves	1070
723	Goretusk Liver	15
724	Goretusk Liver Pie	25
725	Gnoll Paw	0
727	Notched Shortsword	244
728	Recipe: Westfall Stew	50
729	Stringy Vulture Meat	17
730	Murloc Eye	16
731	Goretusk Snout	27
732	Okra	6
733	Westfall Stew	100
735	Rolf and Malakai's Medallions	0
737	Holy Spring Water	0
738	Sack of Barley	0
739	Sack of Corn	0
740	Sack of Rye	0
742	A Sycamore Branch	0
743	Bundle of Charred Oak	0
744	Thunderbrew's Boot Flask	10000
745	Marshal McBride's Documents	0
748	Stormwind Armor Marker	0
750	Tough Wolf Meat	0
752	Red Burlap Bandana	0
753	Dragonmaw Shortsword	3842
754	Shortsword of Vengeance	23556
755	Melted Candle	1
