id	name	reason
1		item not found
2		item not found
3		item not found
4		item not found
5		item not found
6		item not found
7		item not found
8		item not found
9		item not found
10		item not found
11		item not found
12		item not found
13		item not found
14		item not found
15		item not found
16		item not found
17		item not found
18		item not found
19		item not found
20		item not found
21		item not found
22		item not found
23		item not found
24		item not found
26		item not found
27		item not found
28		item not found
29		item not found
30		item not found
31		item not found
32		item not found
33		item not found
34		item not found
41	OLDRecruit's Belt	itemName has identifier OLD
42	OLDSquire's Belt	itemName has identifier OLD
46	OLDFootpad's Belt	itemName has identifier OLD
50	OLDInitiate's Belt	itemName has identifier OLD
54	OLDNovice's Belt	itemName has identifier OLD
58	OLDAcolyte's Belt	itemName has identifier OLD
62		item not found
63		item not found
64		item not found
65		item not found
66		item not found
67		item not found
68		item not found
69		item not found
70		item not found
71		item not found
72		item not found
73		item not found
74		item not found
75		item not found
76		item not found
77	Deprecated Outfitter Cloth Armor	itemName has identifier Deprecated
78		item not found
81		item not found
82		item not found
83		item not found
84		item not found
86	Deprecated Old Belt	itemName has identifier Deprecated
87	Deprecated Old Boots	itemName has identifier Deprecated
88	Deprecated Old Pants	itemName has identifier Deprecated
89	OLDThick Trapper's Shirt	itemName has identifier OLD
90	OLDDwarven Initiate's Belt	itemName has identifier OLD
91	OLDDwarven Initiate's Pants	itemName has identifier OLD
92	OLDDwarven Initiate's Boots	itemName has identifier OLD
93	OLDDwarven Initiate's Shirt	itemName has identifier OLD
94	Deprecated Dwarven Novice's Belt	itemName has identifier Deprecated
95	Deprecated Dwarven Novice's Boots	itemName has identifier Deprecated
96		item not found
97	Deprecated Dwarven Novice's Robe	itemName has identifier Deprecated
98	Deprecated Dwarven Squire's Belt	itemName has identifier Deprecated
99	Deprecated Dwarven Squire's Boots	itemName has identifier Deprecated
100	Deprecated Dwarven Squire's Pants	itemName has identifier Deprecated
101	Deprecated Dwarven Squire's Shirt	itemName has identifier Deprecated
102	Deprecated Dwarven Recruit's Belt	itemName has identifier Deprecated
103	Deprecated Dwarven Recruit's Boots	itemName has identifier Deprecated
104	Deprecated Sturdy Brown Pants	itemName has identifier Deprecated
105	Deprecated Dwarven Recruit's Shirt	itemName has identifier Deprecated
106		item not found
107		item not found
108		item not found
109		item not found
110		item not found
111		item not found
112		item not found
113	Deprecated Dwarven Apprentice Pants	itemName has identifier Deprecated
114	Deprecated Dwarven Apprentice Boots	itemName has identifier Deprecated
115	Deprecated Dwarven Apprentice Belt	itemName has identifier Deprecated
116		item not found
119	Deprecated Rogue's Vest	itemName has identifier Deprecated
122	OLDThug Belt	itemName has identifier OLD
123	Deprecated Orc Apprentice Shirt	itemName has identifier Deprecated
124	Deprecated Orc Apprentice Pants	itemName has identifier Deprecated
125	Deprecated Orc Apprentice Boots	itemName has identifier Deprecated
126	Deprecated Orc Apprentice Belt	itemName has identifier Deprecated
128	Deprecated Tauren Trapper's Pants	itemName has identifier Deprecated
130	Deprecated Tauren Trapper's Belt	itemName has identifier Deprecated
131	Deprecated Orc Acolyte's Belt	itemName has identifier Deprecated
132	Deprecated Orc Acolyte's Boots	itemName has identifier Deprecated
133	Deprecated Orc Acolyte's Shirt	itemName has identifier Deprecated
134	Deprecated Stiff Leather Shirt	itemName has identifier Deprecated
135	Deprecated Stiff Leather Pants	itemName has identifier Deprecated
136	Deprecated Old Leather Boots	itemName has identifier Deprecated
137	OLDNeophyte's Belt	itemName has identifier OLD
138	Deprecated War Harness	itemName has identifier Deprecated
141	OLDBrawler's Belt	itemName has identifier OLD
142		item not found
143	Monster - Shield, Stormwind Guard	itemName has identifier Monster
144		item not found
145		item not found
146	OLDRugged Trapper's Belt	itemName has identifier OLD
149	Deprecated Tauren Apprentice Belt	itemName has identifier Deprecated
150	Deprecated Tauren Apprentice Pants	itemName has identifier Deprecated
151	Deprecated Tauren Apprentice Shirt	itemName has identifier Deprecated
152	OLDPrimitive Leather Belt	itemName has identifier OLD
155	Deprecated Tauren Recruit's Belt	itemName has identifier Deprecated
156	Deprecated Tauren Recruit's Pants	itemName has identifier Deprecated
157	Deprecated Tauren Recruit's Shirt	itemName has identifier Deprecated
158		item not found
160		item not found
161		item not found
162		item not found
163		item not found
164		item not found
165		item not found
166		item not found
167		item not found
168		item not found
169		item not found
170		item not found
171		item not found
172		item not found
173		item not found
174		item not found
175		item not found
176		item not found
177		item not found
178		item not found
179		item not found
180		item not found
181		item not found
183		item not found
184	Deprecated Small Brown Pouch	itemName has identifier Deprecated
185		item not found
186		item not found
187		item not found
188		item not found
189		item not found
190		item not found
191		item not found
192		item not found
196		item not found
197		item not found
198		item not found
199		item not found
204		item not found
205		item not found
206		item not found
207		item not found
208		item not found
211		item not found
212		item not found
213		item not found
214		item not found
215		item not found
216		item not found
217		item not found
218		item not found
219		item not found
220		item not found
221		item not found
222		item not found
223		item not found
224		item not found
225		item not found
226		item not found
227		item not found
228		item not found
229		item not found
230		item not found
231		item not found
232		item not found
233		item not found
234		item not found
235		item not found
240		item not found
241		item not found
242		item not found
243		item not found
244		item not found
245		item not found
246		item not found
247		item not found
248		item not found
249		item not found
250		item not found
251		item not found
252		item not found
253		item not found
254		item not found
255		item not found
256		item not found
257		item not found
258		item not found
259		item not found
260		item not found
261		item not found
262		item not found
263		item not found
264		item not found
265		item not found
266		item not found
267		item not found
268		item not found
269		item not found
270		item not found
271		item not found
272		item not found
273		item not found
274		item not found
275		item not found
276		item not found
277		item not found
278		item not found
279		item not found
280		item not found
281		item not found
282		item not found
283		item not found
284		item not found
288		item not found
289		item not found
290		item not found
291		item not found
292		item not found
293		item not found
294		item not found
295		item not found
296		item not found
297		item not found
298		item not found
299		item not found
300		item not found
301		item not found
302		item not found
303		item not found
304		item not found
305		item not found
306		item not found
307		item not found
308		item not found
309		item not found
310		item not found
311		item not found
312		item not found
313		item not found
314		item not found
315		item not found
316		item not found
317		item not found
318		item not found
319		item not found
320		item not found
321		item not found
322		item not found
323		item not found
324		item not found
325		item not found
326		item not found
327		item not found
328		item not found
329		item not found
330		item not found
331		item not found
332		item not found
333		item not found
334		item not found
