id	name	reason
3		quest not found
4		quest not found
41		quest not found
42		quest not found
43		quest not found
44		quest not found
73	<TXT> No Reward	questName has identifier <TXT>
108	<TXT> Mystery Reward	questName has identifier <TXT>
137	<NYI> <TXT> Stormwind Commendation	questName has identifier <NYI>
236		quest not found
241	<TEST> HEY MISTER WILSON!	questName has identifier <TEST>
242	<UNUSED>	questName has identifier <UNUSED>
259	<UNUSED>	questName has identifier <UNUSED>
260		quest not found
300		quest not found
326		quest not found
327		quest not found
352	<UNUSED>	questName has identifier <UNUSED>
390	<UNUSED>	questName has identifier <UNUSED>
406	<UNUSED>	questName has identifier <UNUSED>
462	<UNUSED>	questName has identifier <UNUSED>
490	<UNUSED>	questName has identifier <UNUSED>
497	<UNUSED>	questName has identifier <UNUSED>
534		quest not found
548	<NYI> <TXT> Bloodstone Pendant	questName has identifier <NYI>
612		quest not found
636	Legends of the Earth <NYI>	questName has identifier <NYI>
740		quest not found
774	<UNUSED>	questName has identifier <UNUSED>
796	<UNUSED>	questName has identifier <UNUSED>
797	<UNUSED>	questName has identifier <UNUSED>
798	<UNUSED>	questName has identifier <UNUSED>
799	<UNUSED>	questName has identifier <UNUSED>
800	<UNUSED>	questName has identifier <UNUSED>
801	<UNUSED>	questName has identifier <UNUSED>
802	<UNUSED>	questName has identifier <UNUSED>
803	<UNUSED>	questName has identifier <UNUSED>
807		quest not found
810	<UNUSED>	questName has identifier <UNUSED>
811		quest not found
814	<UNUSED>	questName has identifier <UNUSED>
820		quest not found
839	<UNUSED>	questName has identifier <UNUSED>
856		quest not found
859	<UNUSED>	questName has identifier <UNUSED>
904		quest not found
946	<UNUSED>	questName has identifier <UNUSED>
987	<UNUSED>	questName has identifier <UNUSED>
988		quest not found
989		quest not found
1128		quest not found
1129		quest not found
1155	<NYI> <TXT> bug crystal side quest	questName has identifier <NYI>
1156	<NYI> <TXT> speak to alchemist pestlezugg	questName has identifier <NYI>
1157	<NYI> <TXT> pestlezugg needs items	questName has identifier <NYI>
1158	<NYI> <TXT> speak to rabine saturna	questName has identifier <NYI>
1161	<NYI> <TXT> gossip shade of ambermoon	questName has identifier <NYI>
1162	<NYI> <TXT> speak to hamuul runetotem	questName has identifier <NYI>
1163	<NYI> <TXT> speak to tyrande whisperwind	questName has identifier <NYI>
1165		quest not found
1207		quest not found
1208		quest not found
1209		quest not found
1210		quest not found
1211		quest not found
1212		quest not found
1213		quest not found
1214		quest not found
1215		quest not found
1216		quest not found
1217		quest not found
1223		quest not found
1224		quest not found
1225		quest not found
